position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
3,Sporting Gijón,30,14.117647058823529,6.1764705882352935,9.705882352941178,0.047,0.034,0.012999999999999998,38.23529411764706,1979-80
4,Barcelona,30,11.470588235294116,10.588235294117649,7.9411764705882355,0.042,0.033,0.009000000000000001,37.254901960784316,1979-80
5,Real Betis,30,10.588235294117649,10.588235294117649,8.823529411764707,0.042,0.04,0.0020000000000000018,35.294117647058826,1979-80
6,Valencia,30,10.588235294117649,10.588235294117649,8.823529411764707,0.05,0.042,0.008,35.294117647058826,1979-80
7,Athletic Bilbao,30,13.235294117647058,4.411764705882353,12.352941176470587,0.052,0.044,0.008,34.31372549019608,1979-80
8,Sevilla,30,12.352941176470587,5.294117647058824,12.352941176470587,0.05,0.047,0.0030000000000000027,33.33333333333333,1979-80
9,Salamanca,30,11.470588235294116,7.0588235294117645,11.470588235294116,0.037,0.037,0.0,33.33333333333333,1979-80
10,Almería,30,9.705882352941178,9.705882352941178,10.588235294117649,0.041,0.05,-0.009000000000000001,32.35294117647059,1979-80
11,Zaragoza,30,11.470588235294116,6.1764705882352935,12.352941176470587,0.043,0.04,0.0029999999999999957,32.35294117647059,1979-80
12,Las Palmas,30,11.470588235294116,5.294117647058824,13.235294117647058,0.036,0.049,-0.013000000000000005,31.372549019607842,1979-80
13,Atlético Madrid,30,8.823529411764707,9.705882352941178,11.470588235294116,0.038,0.044,-0.005999999999999998,30.392156862745097,1979-80
14,Español,30,7.9411764705882355,10.588235294117649,11.470588235294116,0.028,0.037,-0.008999999999999998,29.411764705882355,1979-80
15,Hércules,30,7.0588235294117645,10.588235294117649,12.352941176470587,0.036,0.039,-0.0030000000000000027,27.450980392156865,1979-80
16,Rayo Vallecano,30,7.9411764705882355,7.0588235294117645,15.0,0.046,0.061,-0.015,25.49019607843137,1979-80
17,Burgos,30,4.411764705882353,8.823529411764707,16.764705882352942,0.029,0.061,-0.032,19.607843137254903,1979-80
18,Málaga,30,7.0588235294117645,5.294117647058824,17.647058823529413,0.028,0.058,-0.030000000000000002,56.86274509803921,1979-80
1,Real Sociedad,30,16.764705882352942,6.1764705882352935,7.0588235294117645,0.052,0.029,0.022999999999999996,44.11764705882353,1980-81
2,Real Madrid,30,17.647058823529413,4.411764705882353,7.9411764705882355,0.066,0.037,0.029000000000000005,44.11764705882353,1980-81
3,Atlético Madrid,30,15.0,7.0588235294117645,7.9411764705882355,0.059,0.041,0.017999999999999995,41.17647058823529,1980-81
4,Valencia,30,14.117647058823529,8.823529411764707,7.0588235294117645,0.046,0.039,0.006999999999999999,41.17647058823529,1980-81
5,Barcelona,30,15.882352941176471,4.411764705882353,9.705882352941178,0.066,0.041,0.025,40.19607843137255,1980-81
6,Real Betis,30,15.0,5.294117647058824,9.705882352941178,0.055,0.038,0.017,39.21568627450981,1980-81
7,Sporting Gijón,30,12.352941176470587,8.823529411764707,8.823529411764707,0.058,0.04,0.018000000000000002,37.254901960784316,1980-81
8,Sevilla,30,12.352941176470587,7.9411764705882355,9.705882352941178,0.034,0.042,-0.008,36.27450980392157,1980-81
9,Athletic Bilbao,30,12.352941176470587,6.1764705882352935,11.470588235294116,0.064,0.053,0.011000000000000003,34.31372549019608,1980-81
10,Español,30,12.352941176470587,5.294117647058824,12.352941176470587,0.037,0.042,-0.0050000000000000044,33.33333333333333,1980-81
11,Osasuna,30,10.588235294117649,7.0588235294117645,12.352941176470587,0.035,0.046,-0.010999999999999996,31.372549019607842,1980-81
12,Valladolid,30,7.9411764705882355,11.470588235294116,10.588235294117649,0.04,0.046,-0.005999999999999998,30.392156862745097,1980-81
13,Hércules,30,8.823529411764707,8.823529411764707,12.352941176470587,0.042,0.048,-0.005999999999999998,29.411764705882355,1980-81
14,Zaragoza,30,7.9411764705882355,9.705882352941178,12.352941176470587,0.031,0.044,-0.012999999999999998,28.431372549019606,1980-81
15,Las Palmas,30,10.588235294117649,3.5294117647058822,15.882352941176471,0.047,0.061,-0.013999999999999999,27.450980392156865,1980-81
16,Murcia,30,7.0588235294117645,6.1764705882352935,16.764705882352942,0.035,0.049,-0.013999999999999999,22.54901960784314,1980-81
17,Salamanca,30,6.1764705882352935,6.1764705882352935,17.647058823529413,0.032,0.067,-0.035,20.588235294117645,1980-81
18,Almería,30,5.294117647058824,6.1764705882352935,18.529411764705884,0.03,0.066,-0.036000000000000004,18.627450980392158,1980-81
1,Real Sociedad,30,17.647058823529413,6.1764705882352935,6.1764705882352935,0.058,0.033,0.025,46.07843137254902,1981-82
2,Barcelona,30,16.764705882352942,6.1764705882352935,7.0588235294117645,0.075,0.04,0.034999999999999996,44.11764705882353,1981-82
3,Real Madrid,30,15.882352941176471,7.0588235294117645,7.0588235294117645,0.057,0.034,0.023,43.13725490196079,1981-82
4,Athletic Bilbao,30,15.882352941176471,3.5294117647058822,10.588235294117649,0.063,0.041,0.022,39.21568627450981,1981-82
5,Valencia,30,15.0,4.411764705882353,10.588235294117649,0.054,0.046,0.008,38.23529411764706,1981-82
6,Real Betis,30,13.235294117647058,5.294117647058824,11.470588235294116,0.053,0.044,0.009000000000000001,35.294117647058826,1981-82
7,Sevilla,30,13.235294117647058,4.411764705882353,12.352941176470587,0.052,0.039,0.012999999999999998,34.31372549019608,1981-82
8,Atlético Madrid,30,13.235294117647058,3.5294117647058822,13.235294117647058,0.038,0.037,0.0010000000000000009,33.33333333333333,1981-82
9,Valladolid,30,11.470588235294116,7.0588235294117645,11.470588235294116,0.04,0.053,-0.012999999999999998,33.33333333333333,1981-82
10,Osasuna,30,12.352941176470587,5.294117647058824,12.352941176470587,0.045,0.045,0.0,33.33333333333333,1981-82
11,Zaragoza,30,11.470588235294116,7.0588235294117645,11.470588235294116,0.045,0.056,-0.011000000000000003,33.33333333333333,1981-82
12,Racing Santander,30,10.588235294117649,7.0588235294117645,12.352941176470587,0.041,0.052,-0.010999999999999996,31.372549019607842,1981-82
13,Español,30,11.470588235294116,5.294117647058824,13.235294117647058,0.048,0.055,-0.006999999999999999,31.372549019607842,1981-82
14,Sporting Gijón,30,8.823529411764707,7.9411764705882355,13.235294117647058,0.038,0.044,-0.005999999999999998,28.431372549019606,1981-82
15,Las Palmas,30,9.705882352941178,6.1764705882352935,14.117647058823529,0.041,0.053,-0.011999999999999997,28.431372549019606,1981-82
16,Cádiz,30,11.470588235294116,2.647058823529412,15.882352941176471,0.031,0.047,-0.016,28.431372549019606,1981-82
17,Hércules,30,9.705882352941178,4.411764705882353,15.882352941176471,0.041,0.052,-0.010999999999999996,26.47058823529412,1981-82
18,Castellón,30,2.647058823529412,5.294117647058824,22.058823529411768,0.033,0.082,-0.049,11.76470588235294,1981-82
1,Athletic Bilbao,30,19.411764705882355,5.294117647058824,5.294117647058824,0.071,0.036,0.034999999999999996,49.01960784313725,1982-83
2,Real Madrid,30,17.647058823529413,7.9411764705882355,4.411764705882353,0.057,0.025,0.032,48.03921568627451,1982-83
3,Atlético Madrid,30,17.647058823529413,5.294117647058824,7.0588235294117645,0.056,0.038,0.018000000000000002,45.09803921568628,1982-83
4,Barcelona,30,15.0,8.823529411764707,6.1764705882352935,0.06,0.029,0.030999999999999996,43.13725490196079,1982-83
5,Sevilla,30,13.235294117647058,10.588235294117649,6.1764705882352935,0.044,0.031,0.012999999999999998,41.17647058823529,1982-83
6,Zaragoza,30,15.0,5.294117647058824,9.705882352941178,0.059,0.039,0.019999999999999997,39.21568627450981,1982-83
7,Real Sociedad,30,10.588235294117649,10.588235294117649,8.823529411764707,0.029,0.027,0.0020000000000000018,35.294117647058826,1982-83
8,Sporting Gijón,30,7.9411764705882355,13.235294117647058,8.823529411764707,0.031,0.032,-0.0010000000000000009,32.35294117647059,1982-83
9,Español,30,11.470588235294116,5.294117647058824,13.235294117647058,0.045,0.047,-0.0020000000000000018,31.372549019607842,1982-83
10,Málaga,30,8.823529411764707,8.823529411764707,12.352941176470587,0.037,0.048,-0.011000000000000003,29.411764705882355,1982-83
11,Real Betis,30,7.9411764705882355,10.588235294117649,11.470588235294116,0.042,0.045,-0.0029999999999999957,29.411764705882355,1982-83
12,Valladolid,30,7.9411764705882355,9.705882352941178,12.352941176470587,0.034,0.051,-0.016999999999999994,28.431372549019606,1982-83
13,Salamanca,30,8.823529411764707,7.0588235294117645,14.117647058823529,0.031,0.048,-0.017,27.450980392156865,1982-83
14,Osasuna,30,8.823529411764707,5.294117647058824,15.882352941176471,0.039,0.054,-0.015,25.49019607843137,1982-83
15,Valencia,30,7.9411764705882355,6.1764705882352935,15.882352941176471,0.042,0.056,-0.013999999999999999,24.509803921568626,1982-83
16,Las Palmas,30,6.1764705882352935,9.705882352941178,14.117647058823529,0.032,0.055,-0.023,24.509803921568626,1982-83
17,Celta,30,7.9411764705882355,5.294117647058824,16.764705882352942,0.027,0.056,-0.029,23.52941176470588,1982-83
18,Racing Santander,30,7.9411764705882355,4.411764705882353,17.647058823529413,0.044,0.063,-0.019000000000000003,22.54901960784314,1982-83
1,Athletic Bilbao,30,17.647058823529413,7.9411764705882355,4.411764705882353,0.053,0.03,0.023,48.03921568627451,1983-84
2,Real Madrid,30,19.411764705882355,4.411764705882353,6.1764705882352935,0.059,0.037,0.022,48.03921568627451,1983-84
3,Barcelona,30,17.647058823529413,7.0588235294117645,5.294117647058824,0.062,0.028,0.034,47.05882352941176,1983-84
4,Atlético Madrid,30,15.0,7.0588235294117645,7.9411764705882355,0.053,0.047,0.005999999999999998,41.17647058823529,1983-84
5,Real Betis,30,15.0,3.5294117647058822,11.470588235294116,0.045,0.04,0.0049999999999999975,37.254901960784316,1983-84
6,Real Sociedad,30,12.352941176470587,7.9411764705882355,9.705882352941178,0.043,0.035,0.007999999999999993,36.27450980392157,1983-84
7,Zaragoza,30,10.588235294117649,9.705882352941178,9.705882352941178,0.05,0.041,0.009000000000000001,34.31372549019608,1983-84
